,R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR.,B_SIG_STR.,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner
3289,Takanori Gomi,Eiji Mitsuoka,0,1,48 of 107,32 of 66,44%,48%,95 of 156,34 of 69,0 of 0,1 of 4,0%,25%,0,1,0,1,0,0,34 of 87,31 of 64,11 of 17,0 of 1,3 of 3,1 of 1,31 of 85,32 of 65,10 of 14,0 of 1,7 of 8,0 of 0,KO/TKO,2,2:21,3 Rnd (5-5-5),Leon Roberts,2012-02-25,"Saitama, Japan",Lightweight Bout,Takanori Gomi
3290,Norifumi Yamamoto,Vaughan Lee,0,1,21 of 49,14 of 30,42%,46%,21 of 49,32 of 48,1 of 2,0 of 1,50%,0%,0,2,0,0,0,0,19 of 45,9 of 24,2 of 4,4 of 5,0 of 0,1 of 1,17 of 40,7 of 22,4 of 9,7 of 8,0 of 0,0 of 0,Submission,1,4:29,3 Rnd (5-5-5),Herb Dean,2012-02-25,"Saitama, Japan",Bantamweight Bout,Vaughan Lee
3291,Riki Fukuda,Steve Cantwell,0,0,124 of 242,47 of 148,51%,31%,187 of 310,49 of 151,3 of 6,1 of 1,50%,100%,0,1,1,0,0,0,86 of 190,29 of 112,15 of 21,12 of 28,23 of 31,6 of 8,99 of 193,33 of 125,19 of 37,14 of 23,6 of 12,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,2012-02-25,"Saitama, Japan",Middleweight Bout,Riki Fukuda
3292,Takeya Mizugaki,Chris Cariaso,0,0,28 of 88,37 of 77,31%,48%,70 of 141,75 of 119,2 of 4,0 of 1,50%,0%,0,0,0,0,0,1,20 of 74,21 of 58,6 of 8,15 of 18,2 of 6,1 of 1,6 of 51,14 of 49,8 of 12,23 of 28,14 of 25,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,2012-02-25,"Saitama, Japan",Bantamweight Bout,Chris Cariaso
3293,Tiequan Zhang,Issei Tamura,0,2,6 of 19,15 of 24,31%,62%,6 of 19,77 of 90,0 of 0,1 of 2,0%,50%,1,0,0,2,0,0,3 of 16,15 of 24,0 of 0,0 of 0,3 of 3,0 of 0,6 of 19,7 of 13,0 of 0,0 of 0,0 of 0,8 of 11,KO/TKO,2,0:32,3 Rnd (5-5-5),Herb Dean,2012-02-25,"Saitama, Japan",Featherweight Bout,Issei Tamura
3294,Diego Sanchez,Jake Ellenberger,0,1,29 of 114,62 of 124,25%,50%,63 of 158,78 of 141,0 of 1,2 of 8,0%,25%,0,0,1,0,0,0,17 of 92,44 of 102,9 of 18,10 of 13,3 of 4,8 of 9,27 of 109,51 of 103,0 of 3,7 of 12,2 of 2,4 of 9,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,2012-02-15,"Omaha, Nebraska, USA",Welterweight Bout,Jake Ellenberger
3295,Stefan Struve,Dave Herman,1,0,47 of 81,51 of 74,58%,68%,82 of 124,51 of 74,1 of 1,0 of 0,100%,0%,0,0,4,0,0,0,26 of 59,16 of 33,5 of 5,13 of 15,16 of 17,22 of 26,39 of 69,51 of 74,0 of 0,0 of 0,8 of 12,0 of 0,KO/TKO,2,3:52,3 Rnd (5-5-5),Josh Rosenthal,2012-02-15,"Omaha, Nebraska, USA",Heavyweight Bout,Stefan Struve
3296,Aaron Simpson,Ronny Markes,1,0,55 of 84,62 of 97,65%,63%,75 of 104,78 of 115,0 of 5,2 of 6,0%,33%,0,0,0,1,0,0,34 of 61,28 of 61,11 of 13,4 of 5,10 of 10,30 of 31,24 of 47,36 of 70,13 of 14,14 of 14,18 of 23,12 of 13,Decision - Split,3,5:00,3 Rnd (5-5-5),Jim Axtel,2012-02-15,"Omaha, Nebraska, USA",Middleweight Bout,Ronny Markes
3297,Stipe Miocic,Philip De Fries,1,0,8 of 17,7 of 18,47%,38%,10 of 19,7 of 18,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,8 of 17,7 of 18,0 of 0,0 of 0,0 of 0,0 of 0,5 of 14,6 of 17,0 of 0,1 of 1,3 of 3,0 of 0,KO/TKO,1,0:43,3 Rnd (5-5-5),Dan Miragliotta,2012-02-15,"Omaha, Nebraska, USA",Heavyweight Bout,Stipe Miocic
3298,TJ Dillashaw,Walel Watson,0,0,85 of 114,11 of 33,74%,33%,154 of 192,19 of 42,3 of 7,0 of 0,42%,0%,5,1,9,0,0,0,76 of 105,10 of 31,5 of 5,1 of 2,4 of 4,0 of 0,9 of 15,7 of 26,0 of 0,0 of 0,76 of 99,4 of 7,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,2012-02-15,"Omaha, Nebraska, USA",Bantamweight Bout,TJ Dillashaw
3299,Ivan Menjivar,John Albert,0,0,25 of 35,31 of 55,71%,56%,33 of 44,37 of 64,1 of 1,0 of 0,100%,0%,2,3,1,0,0,0,21 of 30,17 of 38,4 of 5,12 of 15,0 of 0,2 of 2,4 of 11,17 of 36,0 of 1,13 of 15,21 of 23,1 of 4,Submission,1,3:45,3 Rnd (5-5-5),Jim Axtel,2012-02-15,"Omaha, Nebraska, USA",Bantamweight Bout,Ivan Menjivar
3300,Jonathan Brookins,Vagner Rocha,0,0,18 of 28,7 of 16,64%,43%,18 of 28,7 of 16,1 of 1,0 of 0,100%,0%,0,0,0,0,0,0,13 of 21,4 of 12,4 of 6,2 of 3,1 of 1,1 of 1,9 of 18,7 of 16,0 of 1,0 of 0,9 of 9,0 of 0,KO/TKO,1,1:32,3 Rnd (5-5-5),Dan Miragliotta,2012-02-15,"Omaha, Nebraska, USA",Featherweight Bout,Jonathan Brookins
3301,Anton Kuivanen,Justin Salas,0,0,38 of 115,50 of 111,33%,45%,39 of 117,66 of 129,0 of 0,4 of 15,0%,26%,0,0,0,1,0,0,16 of 85,24 of 78,19 of 26,13 of 16,3 of 4,13 of 17,29 of 102,32 of 87,9 of 12,8 of 11,0 of 1,10 of 13,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Powell,2012-02-15,"Omaha, Nebraska, USA",Lightweight Bout,Justin Salas
3302,Tim Means,Bernardo Magalhaes,0,0,83 of 170,28 of 68,48%,41%,98 of 186,30 of 70,0 of 0,0 of 11,0%,0%,0,0,1,0,0,1,49 of 132,15 of 53,31 of 35,5 of 6,3 of 3,8 of 9,46 of 125,28 of 68,21 of 25,0 of 0,16 of 20,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bo Nesslein,2012-02-15,"Omaha, Nebraska, USA",Lightweight Bout,Tim Means
3303,Nick Diaz,Carlos Condit,0,0,105 of 246,151 of 320,42%,47%,117 of 258,159 of 329,1 of 3,0 of 0,33%,0%,0,0,1,0,0,0,57 of 177,52 of 192,42 of 59,31 of 41,6 of 10,68 of 87,103 of 242,150 of 318,1 of 3,1 of 2,1 of 1,0 of 0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Steve Mazzagatti,2012-02-04,"Las Vegas, Nevada, USA",UFC Interim Welterweight Title Bout,Carlos Condit
3304,Roy Nelson,Fabricio Werdum,0,0,26 of 69,91 of 136,37%,66%,55 of 99,98 of 145,0 of 0,0 of 1,0%,0%,1,0,0,1,0,0,18 of 60,47 of 88,5 of 5,24 of 27,3 of 4,20 of 21,21 of 59,78 of 121,4 of 9,13 of 15,1 of 1,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,2012-02-04,"Las Vegas, Nevada, USA",Heavyweight Bout,Fabricio Werdum
3305,Josh Koscheck,Mike Pierce,0,0,33 of 95,41 of 119,34%,34%,47 of 110,62 of 141,2 of 3,1 of 5,66%,20%,0,0,0,0,0,0,22 of 84,30 of 104,11 of 11,8 of 12,0 of 0,3 of 3,21 of 81,32 of 109,11 of 13,9 of 10,1 of 1,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,2012-02-04,"Las Vegas, Nevada, USA",Welterweight Bout,Josh Koscheck
3306,Renan Barao,Scott Jorgensen,0,0,104 of 299,73 of 206,34%,35%,129 of 324,82 of 215,0 of 0,0 of 7,0%,0%,0,0,1,0,0,0,68 of 250,52 of 179,16 of 23,14 of 18,20 of 26,7 of 9,102 of 296,72 of 205,2 of 3,1 of 1,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kim Winslow,2012-02-04,"Las Vegas, Nevada, USA",Bantamweight Bout,Renan Barao
3307,Ed Herman,Clifford Starks,0,0,28 of 57,16 of 36,49%,44%,53 of 88,35 of 61,2 of 4,0 of 0,50%,0%,2,0,4,0,0,1,10 of 36,16 of 36,14 of 15,0 of 0,4 of 6,0 of 0,13 of 41,13 of 32,15 of 16,3 of 4,0 of 0,0 of 0,Submission,2,1:43,3 Rnd (5-5-5),Josh Rosenthal,2012-02-04,"Las Vegas, Nevada, USA",Middleweight Bout,Ed Herman
3308,Dustin Poirier,Max Holloway,0,0,11 of 25,11 of 32,44%,34%,15 of 29,11 of 32,1 of 3,0 of 0,33%,0%,3,0,2,0,0,0,6 of 19,8 of 26,0 of 1,2 of 5,5 of 5,1 of 1,7 of 21,11 of 30,2 of 2,0 of 2,2 of 2,0 of 0,Submission,1,3:23,3 Rnd (5-5-5),Steve Mazzagatti,2012-02-04,"Las Vegas, Nevada, USA",Featherweight Bout,Dustin Poirier
3309,Alex Caceres,Edwin Figueroa,0,1,55 of 89,41 of 81,61%,50%,76 of 113,53 of 95,1 of 1,0 of 0,100%,0%,7,0,8,0,0,0,35 of 63,24 of 59,13 of 19,9 of 13,7 of 7,8 of 9,52 of 85,26 of 58,2 of 2,5 of 5,1 of 2,10 of 18,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,2012-02-04,"Las Vegas, Nevada, USA",Bantamweight Bout,Edwin Figueroa
3310,Matt Brown,Chris Cope,1,0,48 of 71,20 of 82,67%,24%,48 of 71,24 of 87,1 of 3,0 of 0,33%,0%,0,0,1,0,0,0,24 of 42,8 of 68,15 of 19,5 of 7,9 of 10,7 of 7,35 of 54,16 of 76,9 of 13,4 of 6,4 of 4,0 of 0,KO/TKO,2,1:19,3 Rnd (5-5-5),Kim Winslow,2012-02-04,"Las Vegas, Nevada, USA",Welterweight Bout,Matt Brown
3311,Matthew Riddle,Henry Martinez,0,0,74 of 158,67 of 169,46%,39%,112 of 200,70 of 173,2 of 3,0 of 1,66%,0%,0,0,1,0,0,0,30 of 101,50 of 149,30 of 42,3 of 6,14 of 15,14 of 14,63 of 145,67 of 169,1 of 2,0 of 0,10 of 11,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,2012-02-04,"Las Vegas, Nevada, USA",Welterweight Bout,Matthew Riddle
3312,Rafael Natal,Michael Kuiper,0,1,36 of 72,30 of 62,50%,48%,61 of 98,68 of 100,6 of 16,0 of 0,37%,0%,2,0,5,0,0,1,25 of 56,24 of 52,5 of 8,3 of 4,6 of 8,3 of 6,24 of 51,8 of 26,11 of 19,4 of 12,1 of 2,18 of 24,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,2012-02-04,"Las Vegas, Nevada, USA",Middleweight Bout,Rafael Natal
3313,Dan Stittgen,Stephen Thompson,0,1,8 of 22,22 of 38,36%,57%,8 of 22,22 of 38,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,0 of 5,9 of 23,1 of 5,7 of 9,7 of 12,6 of 6,8 of 22,20 of 36,0 of 0,0 of 0,0 of 0,2 of 2,KO/TKO,1,4:13,3 Rnd (5-5-5),Josh Rosenthal,2012-02-04,"Las Vegas, Nevada, USA",Welterweight Bout,Stephen Thompson
3314,Rashad Evans,Phil Davis,0,0,62 of 162,51 of 197,38%,25%,106 of 209,61 of 208,3 of 4,2 of 9,75%,22%,0,0,6,0,1,0,56 of 151,21 of 145,5 of 10,17 of 31,1 of 1,13 of 21,34 of 116,37 of 173,14 of 28,14 of 24,14 of 18,0 of 0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,2012-01-28,"Chicago, Illinois, USA",Light Heavyweight Bout,Rashad Evans
3315,Chael Sonnen,Michael Bisping,0,0,40 of 97,30 of 86,41%,34%,135 of 203,102 of 163,4 of 7,1 of 3,57%,33%,0,0,2,0,0,0,24 of 76,17 of 68,12 of 16,11 of 16,4 of 5,2 of 2,14 of 56,14 of 64,15 of 21,14 of 19,11 of 20,2 of 3,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,2012-01-28,"Chicago, Illinois, USA",Middleweight Bout,Chael Sonnen
3316,Demian Maia,Chris Weidman,0,0,51 of 169,58 of 166,30%,34%,60 of 178,68 of 178,0 of 7,4 of 6,0%,66%,0,0,0,2,0,0,35 of 145,43 of 145,14 of 20,10 of 15,2 of 4,5 of 6,39 of 143,49 of 149,12 of 26,7 of 15,0 of 0,2 of 2,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2012-01-28,"Chicago, Illinois, USA",Middleweight Bout,Chris Weidman
3317,Evan Dunham,Nik Lentz,0,0,68 of 97,39 of 76,70%,51%,100 of 129,57 of 96,2 of 2,2 of 8,100%,25%,1,0,1,0,0,0,65 of 94,28 of 61,3 of 3,8 of 12,0 of 0,3 of 3,42 of 66,25 of 51,17 of 20,14 of 25,9 of 11,0 of 0,TKO - Doctor's Stoppage,2,5:00,3 Rnd (5-5-5),John McCarthy,2012-01-28,"Chicago, Illinois, USA",Lightweight Bout,Evan Dunham
3318,Mike Russow,Jon Olav Einemo,0,0,21 of 37,31 of 43,56%,72%,58 of 76,85 of 98,6 of 10,0 of 0,60%,0%,0,0,2,1,0,1,16 of 31,18 of 30,5 of 6,9 of 9,0 of 0,4 of 4,12 of 26,17 of 24,0 of 1,12 of 13,9 of 10,2 of 6,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2012-01-28,"Chicago, Illinois, USA",Heavyweight Bout,Mike Russow
3319,Cub Swanson,George Roop,1,0,43 of 66,35 of 99,65%,35%,50 of 74,44 of 108,2 of 2,0 of 1,100%,0%,0,0,0,0,0,0,24 of 45,15 of 63,9 of 10,12 of 23,10 of 11,8 of 13,28 of 48,28 of 88,5 of 5,6 of 10,10 of 13,1 of 1,KO/TKO,2,2:22,3 Rnd (5-5-5),John McCarthy,2012-01-28,"Chicago, Illinois, USA",Featherweight Bout,Cub Swanson
3320,Charles Oliveira,Eric Wisely,0,0,6 of 12,2 of 4,50%,50%,7 of 13,3 of 5,1 of 1,0 of 0,100%,0%,2,0,0,0,0,0,2 of 6,0 of 1,1 of 2,1 of 2,3 of 4,1 of 1,3 of 5,2 of 4,0 of 0,0 of 0,3 of 7,0 of 0,Submission,1,1:43,3 Rnd (5-5-5),John McCarthy,2012-01-28,"Chicago, Illinois, USA",Featherweight Bout,Charles Oliveira
3321,Michael Johnson,Shane Roller,0,0,64 of 136,56 of 92,47%,60%,77 of 149,72 of 110,1 of 1,1 of 12,100%,8%,0,0,0,1,1,0,44 of 113,49 of 79,5 of 7,6 of 12,15 of 16,1 of 1,42 of 110,26 of 57,19 of 20,5 of 6,3 of 6,25 of 29,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2012-01-28,"Chicago, Illinois, USA",Lightweight Bout,Michael Johnson
3322,Joey Beltran,Lavar Johnson,0,1,22 of 71,65 of 92,30%,70%,36 of 85,66 of 93,0 of 3,0 of 0,0%,0%,0,0,0,0,0,0,11 of 57,49 of 75,7 of 10,10 of 11,4 of 4,6 of 6,19 of 68,51 of 75,3 of 3,14 of 17,0 of 0,0 of 0,KO/TKO,1,4:24,3 Rnd (5-5-5),Robert Madrigal,2012-01-28,"Chicago, Illinois, USA",Heavyweight Bout,Lavar Johnson
3323,Chris Camozzi,Dustin Jacoby,0,0,44 of 128,30 of 126,34%,23%,44 of 128,31 of 127,0 of 1,0 of 0,0%,0%,2,0,0,0,0,0,24 of 103,16 of 100,4 of 8,7 of 16,16 of 17,7 of 10,42 of 122,29 of 124,2 of 5,1 of 2,0 of 1,0 of 0,Submission,3,1:08,3 Rnd (5-5-5),Robert Madrigal,2012-01-28,"Chicago, Illinois, USA",Middleweight Bout,Chris Camozzi
3324,Melvin Guillard,Jim Miller,0,0,16 of 26,4 of 12,61%,33%,21 of 31,5 of 13,0 of 0,1 of 3,0%,33%,0,1,0,2,0,0,12 of 21,2 of 7,4 of 4,2 of 3,0 of 1,0 of 2,7 of 14,4 of 12,4 of 6,0 of 0,5 of 6,0 of 0,Submission,1,3:04,3 Rnd (5-5-5),Herb Dean,2012-01-20,"Nashville, Tennessee, USA",Lightweight Bout,Jim Miller
3325,Duane Ludwig,Josh Neer,0,0,24 of 46,5 of 20,52%,25%,30 of 53,6 of 21,0 of 0,1 of 3,0%,33%,0,1,0,0,0,0,11 of 33,3 of 17,12 of 12,2 of 3,1 of 1,0 of 0,14 of 35,5 of 20,10 of 11,0 of 0,0 of 0,0 of 0,Submission,1,3:04,3 Rnd (5-5-5),Josh Rosenthal,2012-01-20,"Nashville, Tennessee, USA",Welterweight Bout,Josh Neer
3326,Mike Easton,Jared Papazian,0,0,85 of 152,68 of 167,55%,40%,122 of 191,105 of 220,1 of 3,0 of 3,33%,0%,0,0,2,0,0,0,37 of 95,43 of 131,30 of 35,16 of 25,18 of 22,9 of 11,60 of 124,55 of 147,25 of 28,13 of 20,0 of 0,0 of 0,Decision - Majority,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,2012-01-20,"Nashville, Tennessee, USA",Bantamweight Bout,Mike Easton
3327,Pat Barry,Christian Morecraft,1,0,12 of 13,3 of 19,92%,15%,12 of 15,5 of 21,0 of 0,2 of 3,0%,66%,0,1,0,2,0,0,10 of 10,3 of 18,0 of 0,0 of 0,2 of 3,0 of 1,8 of 9,2 of 17,0 of 0,0 of 0,4 of 4,1 of 2,KO/TKO,1,3:38,3 Rnd (5-5-5),Herb Dean,2012-01-20,"Nashville, Tennessee, USA",Heavyweight Bout,Pat Barry
3328,Jorge Rivera,Eric Schafer,0,0,6 of 17,6 of 9,35%,66%,34 of 48,47 of 57,0 of 0,2 of 5,0%,40%,0,0,0,3,1,0,6 of 17,3 of 6,0 of 0,1 of 1,0 of 0,2 of 2,0 of 8,1 of 4,0 of 0,0 of 0,6 of 9,5 of 5,KO/TKO,2,1:31,3 Rnd (5-5-5),Herb Dean,2012-01-20,"Nashville, Tennessee, USA",Middleweight Bout,Jorge Rivera
3329,Kamal Shalorus,Khabib Nurmagomedov,0,1,13 of 44,35 of 77,29%,45%,18 of 51,59 of 106,0 of 2,3 of 9,0%,33%,0,1,0,7,0,0,9 of 37,32 of 72,2 of 5,3 of 4,2 of 2,0 of 1,11 of 40,15 of 47,2 of 4,3 of 4,0 of 0,17 of 26,Submission,3,2:08,3 Rnd (5-5-5),Mario Yamasaki,2012-01-20,"Nashville, Tennessee, USA",Lightweight Bout,Khabib Nurmagomedov
3330,Charlie Brenneman,Daniel Roberts,0,0,24 of 26,3 of 11,92%,27%,156 of 177,54 of 63,2 of 5,0 of 1,40%,0%,0,3,8,0,0,0,8 of 10,2 of 10,13 of 13,1 of 1,3 of 3,0 of 0,4 of 5,3 of 11,1 of 1,0 of 0,19 of 20,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2012-01-20,"Nashville, Tennessee, USA",Welterweight Bout,Charlie Brenneman
3331,Fabricio Camoes,Tommy Hayden,0,0,6 of 13,7 of 21,46%,33%,26 of 33,9 of 23,1 of 4,2 of 3,25%,66%,1,0,1,1,0,0,5 of 12,5 of 18,0 of 0,1 of 1,1 of 1,1 of 2,2 of 7,6 of 20,0 of 1,1 of 1,4 of 5,0 of 0,Submission,1,4:03,3 Rnd (5-5-5),Josh Rosenthal,2012-01-20,"Nashville, Tennessee, USA",Lightweight Bout,Fabricio Camoes
3332,Daniel Pineda,Pat Schilling,0,0,19 of 24,4 of 7,79%,57%,38 of 44,4 of 7,1 of 1,0 of 0,100%,0%,1,0,2,0,0,0,16 of 21,3 of 6,1 of 1,0 of 0,2 of 2,1 of 1,8 of 12,4 of 7,0 of 0,0 of 0,11 of 12,0 of 0,Submission,1,1:37,3 Rnd (5-5-5),Mario Yamasaki,2012-01-20,"Nashville, Tennessee, USA",Featherweight Bout,Daniel Pineda
3333,Joseph Sandoval,Nick Denis,0,1,3 of 4,11 of 23,75%,47%,3 of 4,11 of 23,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,3 of 4,11 of 23,0 of 0,0 of 0,0 of 0,0 of 0,3 of 4,7 of 18,0 of 0,4 of 5,0 of 0,0 of 0,KO/TKO,1,0:22,3 Rnd (5-5-5),Josh Rosenthal,2012-01-20,"Nashville, Tennessee, USA",Bantamweight Bout,Nick Denis
3334,Jose Aldo,Chad Mendes,1,0,11 of 23,13 of 23,47%,56%,15 of 27,18 of 28,0 of 0,0 of 7,0%,0%,0,0,0,0,0,0,6 of 14,1 of 9,1 of 1,1 of 1,4 of 8,11 of 13,7 of 18,9 of 19,1 of 2,4 of 4,3 of 3,0 of 0,KO/TKO,1,4:59,5 Rnd (5-5-5-5-5),Mario Yamasaki,2012-01-14,"Rio de Janeiro, Brazil",UFC Featherweight Title Bout,Jose Aldo
3335,Vitor Belfort,Anthony Johnson,0,0,14 of 29,4 of 16,48%,25%,37 of 54,14 of 28,0 of 0,2 of 8,0%,25%,1,0,1,0,0,0,14 of 28,3 of 14,0 of 1,1 of 1,0 of 0,0 of 1,2 of 10,3 of 11,1 of 6,0 of 1,11 of 13,1 of 4,Submission,1,4:49,3 Rnd (5-5-5),Dan Miragliotta,2012-01-14,"Rio de Janeiro, Brazil",Middleweight Bout,Vitor Belfort
3336,Rousimar Palhares,Mike Massenzio,0,0,4 of 8,0 of 6,50%,0%,4 of 8,0 of 6,0 of 1,0 of 0,0%,0%,1,0,0,0,0,0,0 of 3,0 of 5,0 of 0,0 of 0,4 of 5,0 of 1,4 of 7,0 of 6,0 of 1,0 of 0,0 of 0,0 of 0,Submission,1,1:03,3 Rnd (5-5-5),Leon Roberts,2012-01-14,"Rio de Janeiro, Brazil",Middleweight Bout,Rousimar Palhares
3337,Erick Silva,Carlo Prater,0,0,8 of 10,0 of 0,80%,0%,12 of 15,0 of 0,0 of 0,0 of 2,0%,0%,0,0,0,0,0,0,7 of 9,0 of 0,1 of 1,0 of 0,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0,0 of 0,7 of 8,0 of 0,DQ,1,0:29,3 Rnd (5-5-5),Mario Yamasaki,2012-01-14,"Rio de Janeiro, Brazil",Welterweight Bout,Carlo Prater
3338,Edson Barboza,Terry Etim,1,0,47 of 129,26 of 105,36%,24%,47 of 129,26 of 105,0 of 0,2 of 6,0%,33%,0,0,0,0,0,0,14 of 61,15 of 91,10 of 36,3 of 5,23 of 32,8 of 9,43 of 125,24 of 103,4 of 4,2 of 2,0 of 0,0 of 0,KO/TKO,3,2:02,3 Rnd (5-5-5),Dan Miragliotta,2012-01-14,"Rio de Janeiro, Brazil",Lightweight Bout,Edson Barboza
3339,Thiago Tavares,Sam Stout,0,0,50 of 128,45 of 172,39%,26%,57 of 136,52 of 179,2 of 11,0 of 0,18%,0%,0,0,0,0,0,0,22 of 92,18 of 137,24 of 30,22 of 27,4 of 6,5 of 8,49 of 127,40 of 165,1 of 1,5 of 7,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,2012-01-14,"Rio de Janeiro, Brazil",Lightweight Bout,Thiago Tavares
3340,Gabriel Gonzaga,Ednaldo Oliveira,0,0,2 of 7,0 of 14,28%,0%,4 of 9,0 of 14,2 of 2,0 of 0,100%,0%,1,0,3,0,0,0,0 of 5,0 of 12,2 of 2,0 of 2,0 of 0,0 of 0,1 of 6,0 of 14,0 of 0,0 of 0,1 of 1,0 of 0,Submission,1,3:22,3 Rnd (5-5-5),Dan Miragliotta,2012-01-14,"Rio de Janeiro, Brazil",Heavyweight Bout,Gabriel Gonzaga
3341,Iuri Alcantara,Michihiro Omigawa,0,0,60 of 137,24 of 48,43%,50%,101 of 181,74 of 107,0 of 0,1 of 4,0%,25%,2,0,5,1,0,1,46 of 121,20 of 42,13 of 15,4 of 6,1 of 1,0 of 0,44 of 121,23 of 47,2 of 2,1 of 1,14 of 14,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,2012-01-14,"Rio de Janeiro, Brazil",Featherweight Bout,Iuri Alcantara
3342,Ricardo Funch,Mike Pyle,0,1,2 of 8,11 of 24,25%,45%,4 of 10,14 of 27,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,1 of 6,6 of 19,0 of 1,3 of 3,1 of 1,2 of 2,2 of 8,6 of 16,0 of 0,2 of 2,0 of 0,3 of 6,KO/TKO,1,1:22,3 Rnd (5-5-5),Mario Yamasaki,2012-01-14,"Rio de Janeiro, Brazil",Welterweight Bout,Mike Pyle
3343,Felipe Arantes,Antonio Carvalho,0,0,53 of 122,37 of 153,43%,24%,72 of 144,65 of 185,0 of 0,0 of 3,0%,0%,0,0,1,4,0,0,36 of 100,21 of 131,9 of 11,8 of 12,8 of 11,8 of 10,47 of 110,30 of 140,2 of 5,4 of 6,4 of 7,3 of 7,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,2012-01-14,"Rio de Janeiro, Brazil",Featherweight Bout,Felipe Arantes
3344,Brock Lesnar,Alistair Overeem,0,1,6 of 18,19 of 24,33%,79%,8 of 20,20 of 25,0 of 1,0 of 0,0%,0%,0,0,0,0,0,0,3 of 14,11 of 16,1 of 1,8 of 8,2 of 3,0 of 0,5 of 17,4 of 4,1 of 1,11 of 11,0 of 0,4 of 9,KO/TKO,1,2:26,5 Rnd (5-5-5-5-5),Mario Yamasaki,2011-12-30,"Las Vegas, Nevada, USA",Heavyweight Bout,Alistair Overeem
3345,Nate Diaz,Donald Cerrone,0,0,238 of 362,96 of 182,65%,52%,260 of 391,104 of 193,0 of 2,0 of 0,0%,0%,0,0,0,0,0,0,199 of 315,56 of 136,37 of 45,23 of 26,2 of 2,17 of 20,228 of 345,84 of 168,10 of 17,12 of 14,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2011-12-30,"Las Vegas, Nevada, USA",Lightweight Bout,Nate Diaz
3346,Jon Fitch,Johny Hendricks,0,1,0 of 1,2 of 2,0%,100%,0 of 1,2 of 2,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,0 of 1,2 of 2,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,1 of 1,0 of 0,0 of 0,0 of 0,1 of 1,KO/TKO,1,0:12,3 Rnd (5-5-5),Steve Mazzagatti,2011-12-30,"Las Vegas, Nevada, USA",Welterweight Bout,Johny Hendricks
3347,Vladimir Matyushenko,Alexander Gustafsson,0,1,5 of 8,10 of 21,62%,47%,7 of 11,14 of 26,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,4 of 7,7 of 17,1 of 1,1 of 1,0 of 0,2 of 3,5 of 8,6 of 15,0 of 0,0 of 0,0 of 0,4 of 6,KO/TKO,1,2:13,3 Rnd (5-5-5),Yves Lavigne,2011-12-30,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Alexander Gustafsson
